degree_name,Type,Institute,Faculty
Bachelor of Science (Special) in Forestry & Environmental Science,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Mathematics,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Physics,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Plant Biotechnology,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Statistics,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Zoology,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Arts (General),Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Anthropology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Archaeology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Buddhist Civilization,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Buddhist Philosophy,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Criminology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Cultural and Aesthetic Studies,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Economics,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in English,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in French,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Geography,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Hindi,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in History,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Management Information Technology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Mass Communication,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Pali,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Philosophy and Psychology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Political Science,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Sanskrit,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Sinhala,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Social Statistics,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Arts (Special) in Sociology,Undergraduate,University of Sri Jayewardenepura,Faculty of Arts
Bachelor of Commerce (Special),Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Accounting,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Business Administration,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Business Administration (Business Economics),Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science in Business Administration (HRM) (Special),Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Business Information Systems,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Estate Management and Valuation,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Finance,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Marketing Management,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Operations and Technology Management,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Science (Special) in Public Management,Undergraduate,University of Sri Jayewardenepura,Faculty of Management Studies and Commerce
Bachelor of Pharmacy,Undergraduate,University of Sri Jayewardenepura,Faculty of Medical Sciences
Bachelor of Science in Medical Laboratory Sciences,Undergraduate,University of Sri Jayewardenepura,Faculty of Medical Sciences
Bachelor of Science in Nursing,Undergraduate,University of Sri Jayewardenepura,Faculty of Medical Sciences
MBBS,Undergraduate,University of Sri Jayewardenepura,Faculty of Medical Sciences
Doctor of Philosophy in Management,Postgraduate,University of Sri Jayewardenepura,Faculty of Graduate Studies
Bachelor of Business Management (Accountancy) Special Degree Programme,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Business Management (Finance) Special Degree Programme,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Business Management (Human Resource) Special Degree Programme,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Business Management (Marketing) Special Degree Programme,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Commerce (Special) Degree Programme,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Commerce Special Degree in Business Technology,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Commerce Special Degree in Entrepreneurship,Undergraduate,University of Kelaniya,Faculty of Commerce and Management Studies
Bachelor of Arts (General),Undergraduate,University of Kelaniya,Faculty of Humanities
Bachelor of Arts (Special),Undergraduate,University of Kelaniya,Faculty of Humanities
Master of Arts in Literary Criticism,Postgraduate,University of Kelaniya,Faculty of Humanities
Bachelor of Science in Speech & Hearing Sciences,Undergraduate,University of Kelaniya,Faculty of Medicine
MBBS,Undergraduate,University of Kelaniya,Faculty of Medicine
Master of Public Health in Epidemiology,Postgraduate,University of Kelaniya,Faculty of Medicine
Bachelor of Science (General),Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Botany,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Chemistry,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Computer Science,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (General) in Environmental Conservation & Management,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Environmental Conservation & Management,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (General) in Management & Information Technology,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Management & Information Technology,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Mathematical Physics,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Mathematics,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Microbiology,Undergraduate,University of Kelaniya,Faculty of Science
