degree_name,Type,Institute,Faculty
Bachelor of Arts (Special) in Economics,Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Arts (Special) in Geography,Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Arts (Special) in History,Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Arts (Special) in Pali & Buddhist,Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Arts (Special) in Sociology,Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Master of Arts in Economics,Postgraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Business Administration (Special) in Accounting & Finance,Undergraduate,University of Ruhuna,Faculty of Management & Finance
Bachelor of Business Administration (Special) in Entrepreneurship,Undergraduate,University of Ruhuna,Faculty of Management & Finance
Bachelor of Business Administration (Special) in Human Resource Management,Undergraduate,University of Ruhuna,Faculty of Management & Finance
Bachelor of Business Administration (Special) in Marketing Management,Undergraduate,University of Ruhuna,Faculty of Management & Finance
Bachelor of Science in Medical Laboratory Sciences,Undergraduate,University of Ruhuna,Faculty of Medicine
Bachelor of Science in Nursing,Undergraduate,University of Ruhuna,Faculty of Medicine
MBBS,Undergraduate,University of Ruhuna,Faculty of Medicine
Bachelor of Science (General),Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Science (Special) in Botany,Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Science (Special) in Chemisitry,Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Science (Special) in Mathematics,Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Science (Special) in Physics,Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Science (Special) in Zoology,Undergraduate,University of Ruhuna,Faculty of Science
Bachelor of Education in (Natural Sciences),Undergraduate,The Open University of Sri Lanka,Faculty of Education
Bachelor of Industrial Studies (BIS),Undergraduate,The Open University of Sri Lanka,Faculty of Engineering Technology
Bachelor of Software Engineering,Undergraduate,The Open University of Sri Lanka,Faculty of Engineering Technology
Bachelor of Technology (Engineering) (BTech.Eng.),Undergraduate,The Open University of Sri Lanka,Faculty of Engineering Technology
BA in English Language Teaching (BA/ELT),Undergraduate,The Open University of Sri Lanka,Faculty of Humanities & Social Sciences
Bachelor of Arts in Social Sciences (BA),Undergraduate,The Open University of Sri Lanka,Faculty of Humanities & Social Sciences
Bachelor of Laws (LL.B),Undergraduate,The Open University of Sri Lanka,Faculty of Humanities & Social Sciences
Bachelor of Management Studies (BMS),Undergraduate,The Open University of Sri Lanka,Faculty of Humanities & Social Sciences
Master of Business Administration in Human Resource Management,Postgraduate,The Open University of Sri Lanka,Faculty of Humanities & Social Sciences
Bachelor of Science,Undergraduate,The Open University of Sri Lanka,Faculty of Natural Sciences
Bachelor of Science in Nursing,Undergraduate,The Open University of Sri Lanka,Faculty of Natural Sciences
Degree of Bachelor of the Science of Agriculture,Undergraduate,"Eastern University, Sri Lanka",Faculty of Agriculture
Degree of Bachelor of Arts (General),Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Drama & Theatre,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Economics,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Education,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Fine Arts,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Geography,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Hundu Culture,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Philosophy,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Political Science,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
Degree of Bachelor of Arts Special in Sociology,Undergraduate,"Eastern University, Sri Lanka",Faculty of Arts and Culture
